dt=0.010000 dtacc=0.020000 dtmag=0.100000 racc=0.100000 rmag=0.500000 qbg=0.000100
q0 q1 q2 q3 gbx gby gbz roll pitch yaw
0.000073 -0.000006 0.000056 0.000000 0.000000 0.000000
0.000176 -0.001348 0.000112 -0.000004 0.000024 0.000000
0.000208 -0.001386 0.000043 -0.000004 0.000024 0.000000
-0.000315 -0.000164 -0.000025 0.027443 -0.062324 -0.000000
-0.000607 0.000430 -0.000057 0.027443 -0.062324 0.000000
-0.000000 0.000677 -0.000139 0.000516 -0.053720 0.000000
-0.000051 0.001142 -0.000183 0.000516 -0.053720 0.000000
-0.000217 0.000559 -0.000148 0.005603 -0.030787 -0.000000
-0.000251 0.000773 -0.000099 0.005603 -0.030787 0.000000
0.000750 0.000818 0.006064 -0.011530 -0.028261 -0.000604
0.000895 0.000989 0.006136 -0.011530 -0.028261 -0.000604
0.000286 0.000637 0.006182 -0.002440 -0.020398 -0.000604
0.000351 0.000733 0.006333 -0.002440 -0.020398 -0.000604
-0.000257 0.000883 0.006319 0.005694 -0.020113 -0.000604
-0.000285 0.000969 0.006309 0.005694 -0.020113 -0.000604
-0.000198 0.001152 0.006272 0.004746 -0.019665 -0.000604
-0.000236 0.001278 0.006231 0.004746 -0.019665 -0.000604
-0.000388 0.000073 0.006190 0.005760 -0.007925 -0.000604
-0.000450 0.000050 0.006148 0.005760 -0.007925 -0.000604
-0.000236 -0.000032 0.006008 0.002961 -0.006917 0.000757
-0.000227 0.000030 0.006075 0.002961 -0.006917 0.000757
-0.000404 0.000073 0.006108 0.003521 -0.006215 0.000757
-0.000507 0.000208 0.006142 0.003521 -0.006215 0.000757
-0.000469 0.000211 0.006202 0.003114 -0.005946 0.000757
-0.000473 0.000212 0.006070 0.003114 -0.005946 0.000757
-0.000321 0.000199 0.005996 0.001974 -0.005213 0.000757
-0.000388 0.000157 0.005911 0.001974 -0.005213 0.000757
-0.000330 0.000134 0.005847 0.001471 -0.004635 0.000757
-0.000467 0.000040 0.005812 0.001471 -0.004635 0.000757
-0.000240 0.000198 0.005704 -0.000057 -0.005122 0.001798
-0.000292 0.000267 0.005769 -0.000057 -0.005122 0.001798
-0.000363 -0.000008 0.005828 0.000245 -0.003857 0.001798
-0.000346 0.000001 0.005923 0.000245 -0.003857 0.001798
-0.000304 0.000055 0.005914 -0.000363 -0.004232 0.001798
-0.000212 0.000049 0.005783 -0.000363 -0.004232 0.001798
-0.000002 -0.000174 0.005719 -0.000838 -0.003471 0.001798
0.000095 -0.000146 0.005651 -0.000838 -0.003471 0.001798
0.000140 -0.000313 0.005583 -0.000629 -0.002678 0.001798
0.000153 -0.000330 0.005459 -0.000629 -0.002678 0.001798
0.000324 -0.000102 0.005379 -0.001169 -0.003414 0.002346
0.000333 -0.000083 0.005382 -0.001169 -0.003414 0.002346
0.000215 -0.000174 0.005456 -0.000745 -0.003263 0.002346
0.000206 -0.000204 0.005422 -0.000745 -0.003263 0.002346
0.000131 -0.000139 0.005405 -0.000422 -0.003457 0.002346
0.000145 -0.000128 0.005387 -0.000422 -0.003457 0.002346
0.000110 0.000094 0.005388 -0.000144 -0.004117 0.002345
0.000139 0.000132 0.005184 -0.000144 -0.004117 0.002345
0.000055 0.000176 0.005113 0.000078 -0.004080 0.002345
0.000009 0.000139 0.005095 0.000078 -0.004080 0.002345
0.000186 0.000342 0.003845 -0.000332 -0.004561 0.006410
0.000183 0.000315 0.003757 -0.000332 -0.004561 0.006410
0.000210 0.000154 0.003660 -0.000694 -0.004287 0.006410
0.000269 0.000100 0.003657 -0.000694 -0.004287 0.006410
0.000168 0.000162 0.003658 -0.000586 -0.004606 0.006410
0.000171 0.000272 0.003564 -0.000586 -0.004606 0.006410
0.000236 0.000282 0.003504 -0.000670 -0.004637 0.006410
0.000271 0.000281 0.003445 -0.000670 -0.004637 0.006410
0.000296 0.000197 0.003354 -0.000724 -0.004300 0.006410
0.000250 0.000176 0.003270 -0.000724 -0.004300 0.006410
0.000413 0.000256 0.002163 -0.000917 -0.004679 0.009115
0.000380 0.000239 0.002079 -0.000917 -0.004679 0.009115
0.000409 0.000102 0.002091 -0.001011 -0.004429 0.009115
0.000350 0.000079 0.002002 -0.001011 -0.004429 0.009115
0.000376 0.000150 0.001869 -0.001110 -0.004502 0.009115
0.000362 0.000191 0.001736 -0.001110 -0.004502 0.009115
0.000496 0.000238 0.001630 -0.001242 -0.004545 0.009115
0.000545 0.000225 0.001454 -0.001242 -0.004545 0.009115
0.000644 0.000258 0.001309 -0.001254 -0.004504 0.009115
0.000676 0.000300 0.001297 -0.001254 -0.004504 0.009115
0.000596 0.000383 0.003699 -0.001009 -0.004593 0.003565
0.000691 0.000431 0.003692 -0.001009 -0.004593 0.003565
0.000744 0.000274 0.003725 -0.001246 -0.004245 0.003565
0.000713 0.000262 0.003707 -0.001246 -0.004245 0.003565
0.000691 0.000154 0.003662 -0.001065 -0.004219 0.003565
0.000769 0.000144 0.003573 -0.001065 -0.004219 0.003565
0.000539 0.000130 0.003467 -0.000645 -0.004103 0.003565
0.000576 0.000023 0.003371 -0.000645 -0.004103 0.003565
0.000584 0.000040 0.003289 -0.000560 -0.004064 0.003565
0.000605 -0.000041 0.003238 -0.000560 -0.004064 0.003565
0.000611 0.000141 0.002645 -0.000372 -0.004487 0.004727
0.000627 0.000112 0.002633 -0.000372 -0.004487 0.004727
0.000616 -0.000024 0.002660 -0.000385 -0.004270 0.004727
0.000624 -0.000036 0.002639 -0.000385 -0.004270 0.004727
0.000666 0.000018 0.002555 -0.000342 -0.004381 0.004727
0.000696 0.000071 0.002490 -0.000342 -0.004381 0.004727
0.000613 0.000093 0.002497 -0.000267 -0.004384 0.004727
0.000687 0.000074 0.002386 -0.000267 -0.004384 0.004727
0.000708 0.000048 0.002245 -0.000180 -0.004308 0.004727
0.000779 0.000066 0.002104 -0.000180 -0.004308 0.004727
0.000668 0.000065 0.002536 0.000017 -0.004299 0.003873
0.000703 0.000038 0.002589 0.000017 -0.004299 0.003873
0.000705 0.000036 0.002545 0.000172 -0.004383 0.003873
0.000845 0.000010 0.002511 0.000172 -0.004383 0.003873
0.000925 0.000068 0.002439 0.000170 -0.004498 0.003873
0.000844 0.000002 0.002434 0.000170 -0.004498 0.003873
0.000749 0.000057 0.002436 0.000283 -0.004643 0.003873
0.000736 0.000079 0.002390 0.000283 -0.004643 0.003873
0.000641 0.000061 0.002344 0.000411 -0.004581 0.003873
0.000582 0.000137 0.002246 0.000411 -0.004581 0.003873
0.000580 0.000144 0.001327 0.000398 -0.004624 0.005335
0.000497 0.000140 0.001251 0.000398 -0.004624 0.005335
0.000527 0.000028 0.001262 0.000440 -0.004631 0.005335
0.000611 0.000115 0.001320 0.000440 -0.004631 0.005335
0.000618 0.000114 0.001282 0.000491 -0.004690 0.005335
0.000676 0.000120 0.001298 0.000491 -0.004690 0.005335
0.000473 -0.000016 0.001231 0.000666 -0.004593 0.005335
0.000555 -0.000050 0.001141 0.000666 -0.004593 0.005335
0.000600 -0.000030 0.001057 0.000657 -0.004663 0.005335
0.000610 -0.000031 0.001008 0.000657 -0.004663 0.005335
0.000585 -0.000009 0.001174 0.000673 -0.004662 0.005045
0.000561 -0.000006 0.001213 0.000673 -0.004662 0.005045
0.000459 0.000003 0.001160 0.000853 -0.004670 0.005045
0.000505 0.000051 0.001125 0.000853 -0.004670 0.005045
0.000526 0.000076 0.001062 0.000862 -0.004770 0.005045
0.000539 0.000056 0.000948 0.000862 -0.004770 0.005045
0.000498 0.000072 0.000941 0.000915 -0.004842 0.005045
0.000526 0.000091 0.000850 0.000915 -0.004842 0.005045
0.000546 0.000117 0.000799 0.000857 -0.004887 0.005045
0.000542 0.000147 0.000760 0.000857 -0.004887 0.005045
0.000462 0.000234 0.001815 0.000881 -0.004971 0.003604
0.000394 0.000187 0.001836 0.000881 -0.004971 0.003604
0.000384 0.000144 0.001791 0.000770 -0.004947 0.003604
0.000443 0.000198 0.001793 0.000770 -0.004947 0.003604
0.000508 0.000240 0.001724 0.000818 -0.004957 0.003604
0.000457 0.000270 0.001613 0.000818 -0.004957 0.003604
0.000465 0.000305 0.001631 0.000840 -0.004983 0.003604
0.000494 0.000270 0.001623 0.000840 -0.004983 0.003604
0.000502 0.000272 0.001615 0.000865 -0.005028 0.003604
0.000391 0.000324 0.001596 0.000865 -0.005028 0.003604
0.000302 0.000340 0.002479 0.000967 -0.005091 0.002544
0.000299 0.000302 0.002449 0.000967 -0.005091 0.002544
0.000325 0.000230 0.002482 0.000905 -0.005065 0.002544
0.000241 0.000244 0.002469 0.000905 -0.005065 0.002544
0.000129 0.000235 0.002443 0.000919 -0.005042 0.002544
0.000190 0.000277 0.002328 0.000919 -0.005042 0.002544
0.000256 0.000352 0.002195 0.000941 -0.005078 0.002544
0.000222 0.000334 0.002194 0.000941 -0.005078 0.002544
0.000363 0.000288 0.002107 0.000920 -0.005032 0.002544
0.000355 0.000303 0.002041 0.000920 -0.005032 0.002544
0.000366 0.000340 0.002627 0.000899 -0.005056 0.001820
0.000378 0.000354 0.002665 0.000899 -0.005056 0.001820
0.000333 0.000431 0.002744 0.000877 -0.005099 0.001820
0.000255 0.000482 0.002775 0.000877 -0.005099 0.001820
0.000203 0.000449 0.002814 0.000954 -0.005125 0.001820
0.000144 0.000404 0.002771 0.000954 -0.005125 0.001820
0.000134 0.000381 0.002715 0.000936 -0.005137 0.001820
0.000175 0.000414 0.002671 0.000936 -0.005137 0.001820
0.000058 0.000550 0.002650 0.001001 -0.005169 0.001820
0.000066 0.000565 0.002531 0.001001 -0.005169 0.001820
0.000060 0.000658 0.002667 0.000966 -0.005254 0.001623
0.000131 0.000653 0.002730 0.000966 -0.005254 0.001623
0.000169 0.000650 0.002701 0.000897 -0.005238 0.001623
0.000162 0.000636 0.002662 0.000897 -0.005238 0.001623
0.000207 0.000584 0.002624 0.000845 -0.005200 0.001623
0.000172 0.000594 0.002631 0.000845 -0.005200 0.001623
0.000114 0.000593 0.002569 0.000842 -0.005227 0.001623
0.000104 0.000617 0.002501 0.000842 -0.005227 0.001623
0.000109 0.000717 0.002467 0.000826 -0.005234 0.001623
0.000160 0.000733 0.002444 0.000826 -0.005234 0.001623
0.000189 0.000787 0.001934 0.000814 -0.005268 0.002182
0.000171 0.000837 0.001883 0.000814 -0.005268 0.002182
0.000216 0.000874 0.001832 0.000756 -0.005255 0.002181
0.000104 0.000879 0.001870 0.000756 -0.005255 0.002181
0.000143 0.000896 0.001892 0.000730 -0.005253 0.002181
0.000189 0.000845 0.001874 0.000730 -0.005253 0.002181
0.000226 0.000852 0.001841 0.000698 -0.005242 0.002181
