dt=0.010000 dtgps=0.100000 dtbaro=0.100000 kp_baro=0.000000 kp_gps=0.000000 ki=0.010000
dt=0.000000 dtgps=0.000000 dtbaro=0.010000 kp_baro=0.010000 kp_gps=0.010000 ki=0.000000
dt=0.010000 dtgps=0.010000 dtbaro=0.000000 kp_baro=0.001000 kp_gps=0.001000 ki=0.001000
dt=0.001000 dtgps=0.001000 dtbaro=0.001000 kp_baro=px py pz vx vy vz
0.000021 0.000007 -0.000977 0.002056 0.000673 -0.097741
0.000060 0.000019 -0.002934 0.003895 0.001202 -0.195668
0.000118 0.000037 -0.005868 0.005851 0.001779 -0.293416
0.000196 0.000060 -0.009780 0.007807 0.002357 -0.391165
0.000295 0.000088 -0.014669 0.009911 0.002832 -0.488907
0.000415 0.000122 -0.020536 0.011955 0.003357 -0.586726
0.000554 0.000161 -0.027381 0.013956 0.003852 -0.684523
0.000714 0.000205 -0.035204 0.015960 0.004429 -0.782270
0.000892 0.000255 -0.044004 0.017849 0.004984 -0.879998
0.001090 0.000308 -0.053782 0.019761 0.005370 -0.977751
0.001311 0.000367 -0.064635 0.022065 0.005854 -1.085285
0.001551 0.000431 -0.076465 0.024036 0.006406 -1.183082
0.001812 0.000501 -0.089274 0.026069 0.007035 -1.280899
0.002093 0.000578 -0.103061 0.028126 0.007670 -1.378666
0.002395 0.000661 -0.117826 0.030246 0.008283 -1.476479
0.002719 0.000749 -0.133568 0.032333 0.008826 -1.574197
0.003060 0.000843 -0.150288 0.034124 0.009429 -1.672052
0.003419 0.000944 -0.167987 0.035914 0.010031 -1.769908
0.003796 0.001050 -0.186664 0.037712 0.010583 -1.867715
0.004192 0.001160 -0.206319 0.039584 0.011077 -1.965494
0.004617 0.001279 -0.227148 0.042457 0.011832 -2.082899
0.005060 0.001403 -0.248955 0.044383 0.012397 -2.180696
0.005524 0.001532 -0.271740 0.046308 0.012962 -2.278494
0.006006 0.001667 -0.295503 0.048260 0.013503 -2.376291
0.006509 0.001807 -0.320244 0.050289 0.014021 -2.474060
0.007031 0.001953 -0.345963 0.052219 0.014516 -2.571909
0.007573 0.002104 -0.372660 0.054147 0.015126 -2.669731
0.008134 0.002260 -0.400335 0.056089 0.015635 -2.767431
0.008713 0.002420 -0.428987 0.057975 0.015987 -2.865260
0.009312 0.002584 -0.458618 0.059814 0.016386 -2.963112
0.009942 0.002753 -0.489524 0.063073 0.016883 -3.090602
0.010591 0.002927 -0.521408 0.064892 0.017404 -3.188380
0.011259 0.003106 -0.554269 0.066810 0.017900 -3.286129
0.011947 0.003289 -0.588108 0.068759 0.018339 -3.383901
0.012655 0.003478 -0.622926 0.070774 0.018836 -3.481794
0.013381 0.003670 -0.658723 0.072624 0.019272 -3.579671
0.014125 0.003868 -0.695498 0.074450 0.019766 -3.677524
0.014888 0.004071 -0.733252 0.076277 0.020260 -3.775377
0.015669 0.004278 -0.771984 0.078105 0.020754 -3.873180
0.016469 0.004490 -0.811694 0.080005 0.021151 -3.971007
0.017311 0.004702 -0.852779 0.084203 0.021257 -4.108490
0.018172 0.004920 -0.894842 0.086051 0.021759 -4.206365
0.019051 0.005142 -0.937885 0.087953 0.022233 -4.304237
0.019950 0.005369 -0.981906 0.089859 0.022737 -4.402109
0.020867 0.005602 -1.026906 0.091764 0.023240 -4.499981
0.021805 0.005839 -1.072883 0.093765 0.023746 -4.597774
0.022763 0.006082 -1.119839 0.095740 0.024279 -4.695519
0.023739 0.006330 -1.167772 0.097642 0.024788 -4.793317
0.024734 0.006583 -1.216684 0.099508 0.025269 -4.891216
0.025748 0.006839 -1.266574 0.101415 0.025654 -4.989017
0.026815 0.007083 -1.317941 0.106702 0.024381 -5.136656
0.027900 0.007330 -1.370285 0.108511 0.024739 -5.234435
0.029004 0.007583 -1.423608 0.110357 0.025226 -5.332260
0.030127 0.007839 -1.477908 0.112308 0.025679 -5.430031
0.031270 0.008100 -1.533185 0.114297 0.026081 -5.527727
0.032432 0.008365 -1.589440 0.116196 0.026480 -5.625501
0.033613 0.008634 -1.646673 0.118096 0.026878 -5.723276
0.034812 0.008907 -1.704883 0.119897 0.027278 -5.821030
0.036030 0.009183 -1.764072 0.121782 0.027671 -5.918879
0.037266 0.009464 -1.824241 0.123684 0.028024 -6.016852
0.038563 0.009700 -1.885989 0.129640 0.023614 -6.174830
0.039877 0.009940 -1.948716 0.131415 0.023988 -6.272684
0.041210 0.010184 -2.012420 0.133315 0.024426 -6.370456
0.042562 0.010432 -2.077103 0.135194 0.024789 -6.468305
0.043933 0.010683 -2.142765 0.137073 0.025152 -6.566154
0.045322 0.010938 -2.209405 0.138955 0.025497 -6.664029
0.046731 0.011197 -2.277024 0.140820 0.025895 -6.761927
0.048157 0.011460 -2.345622 0.142679 0.026276 -6.859728
0.049602 0.011728 -2.415197 0.144490 0.026766 -6.957480
0.051065 0.012000 -2.485749 0.146301 0.027255 -7.055233
0.052567 0.012181 -2.557983 0.150200 0.018064 -7.223387
0.054086 0.012364 -2.631196 0.151878 0.018345 -7.321295
0.055623 0.012551 -2.705386 0.153700 0.018667 -7.419023
0.057178 0.012742 -2.780552 0.155506 0.019117 -7.516602
0.058750 0.012940 -2.856696 0.157207 0.019748 -7.614381
0.060340 0.013143 -2.933818 0.158982 0.020325 -7.712181
0.061948 0.013350 -3.011917 0.160838 0.020733 -7.809907
0.063575 0.013562 -3.090994 0.162648 0.021170 -7.907684
0.065220 0.013778 -3.171048 0.164518 0.021657 -8.005408
0.066885 0.014000 -3.252080 0.166472 0.022152 -8.103203
0.068509 0.014095 -3.334896 0.162442 0.009518 -8.281601
0.070150 0.014194 -3.418689 0.164122 0.009905 -8.379360
0.071810 0.014298 -3.503460 0.165951 0.010339 -8.477061
0.073488 0.014405 -3.589209 0.167816 0.010754 -8.574909
0.075184 0.014516 -3.675938 0.169636 0.011125 -8.672859
0.076899 0.014632 -3.763644 0.171460 0.011569 -8.770660
0.078633 0.014752 -3.852328 0.173358 0.012017 -8.868358
0.080384 0.014877 -3.941989 0.175139 0.012475 -8.966087
0.082153 0.015006 -4.032627 0.176919 0.012933 -9.063816
0.083940 0.015141 -4.124244 0.178638 0.013466 -9.161695
0.085570 0.015203 -4.217748 0.163081 0.006215 -9.350452
0.087220 0.015270 -4.312230 0.164913 0.006717 -9.448176
0.088886 0.015341 -4.407690 0.166682 0.007087 -9.546004
0.090572 0.015416 -4.504128 0.168554 0.007488 -9.643828
0.092276 0.015496 -4.601544 0.170434 0.008003 -9.741550
0.094000 0.015581 -4.699937 0.172347 0.008491 -9.839297
0.095741 0.015671 -4.799307 0.174121 0.009000 -9.937049
0.097500 0.015766 -4.899655 0.175894 0.009509 -10.034802
0.099276 0.015865 -5.000981 0.177615 0.009940 -10.132559
0.101070 0.015969 -5.103284 0.179367 0.010345 -10.230339
0.102677 0.016176 -5.207579 0.160757 0.020705 -10.429487
0.104303 0.016387 -5.312851 0.162533 0.021138 -10.527215
0.105946 0.016603 -5.419101 0.164355 0.021605 -10.624940
0.107608 0.016824 -5.526328 0.166188 0.022052 -10.722739
0.109287 0.017049 -5.634533 0.167902 0.022555 -10.820494
0.110983 0.017281 -5.743716 0.169607 0.023126 -10.918322
0.112698 0.017517 -5.853877 0.171512 0.023628 -11.016092
0.114432 0.017757 -5.965016 0.173376 0.024037 -11.113916
0.116183 0.018001 -6.077133 0.175145 0.024376 -11.211697
0.117952 0.018249 -6.190228 0.176844 0.024813 -11.309479
0.119717 0.018760 -6.305417 0.176526 0.051107 -11.518918
0.121500 0.019277 -6.421584 0.178286 0.051700 -11.616643
0.123300 0.019800 -6.538728 0.180046 0.052248 -11.714394
0.125120 0.020327 -6.656849 0.181912 0.052676 -11.812142
0.126957 0.020858 -6.775947 0.183711 0.053180 -11.909843
0.128812 0.021395 -6.896023 0.185567 0.053660 -12.007566
0.130686 0.021936 -7.017077 0.187381 0.054096 -12.105391
0.132578 0.022481 -7.139109 0.189224 0.054456 -12.203192
0.134489 0.023029 -7.262119 0.191069 0.054890 -12.300991
0.136418 0.023583 -7.386106 0.192864 0.055343 -12.398693
0.138635 0.024268 -7.512289 0.221757 0.068535 -12.618298
0.140870 0.024956 -7.639450 0.223477 0.068805 -12.716079
0.143123 0.025649 -7.767588 0.225295 0.069252 -12.813804
0.145394 0.026346 -7.896704 0.227069 0.069711 -12.911604
0.147682 0.027047 -8.026799 0.228849 0.070141 -13.009503
0.149989 0.027753 -8.157872 0.230656 0.070575 -13.107377
0.152314 0.028463 -8.289924 0.232494 0.071002 -13.205150
0.154657 0.029177 -8.422953 0.234331 0.071429 -13.302924
