index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009831643;-0.058757927;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009789127;-0.058808714;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
6;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009794913;-0.058816843;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
7;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009803398;-0.058826003;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
9;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009822018;-0.05882673;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
14;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009814791;-0.05882158;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
15;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009827678;-0.058806673;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
16;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009843392;-0.05879157;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
19;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009849034;-0.058792986;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
20;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.00985285;-0.05878883;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
21;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009857547;-0.05879407;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
24;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0098592155;-0.058844313;0.0;0.0;0.0;0.0;0.005;0.0025;0.0;0.0;0.0;0.0
25;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009857142;-0.058856376;0.0;0.0;0.0;0.0;0.005;0.0025;0.0;0.0;0.0;0.0
26;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.00985356;-0.058868676;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
30;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009879886;-0.058924124;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
32;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009900983;-0.05894082;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
33;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009901257;-0.058948446;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
34;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009895843;-0.058954366;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
38;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009835713;-0.059020706;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
39;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009815762;-0.059041325;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
40;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009795962;-0.059062973;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
45;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.00975355;-0.059097324;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
46;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009750199;-0.059093688;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
47;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009754981;-0.05909533;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
48;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009759334;-0.059094533;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
49;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009755393;-0.059092317;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
50;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009751582;-0.059086394;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
52;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009721997;-0.05907069;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
55;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009660789;-0.05903648;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
56;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.00965217;-0.05902352;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
59;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009686784;-0.059015356;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
60;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009693268;-0.05900834;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
61;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009685356;-0.059003115;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
64;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0096691735;-0.058961153;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
65;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009675931;-0.058953032;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
66;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009685689;-0.058946807;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
70;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009664483;-0.058898613;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
71;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.00964973;-0.058894236;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
72;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0096328845;-0.058888998;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
77;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009585656;-0.058824632;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
78;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0095717665;-0.05880723;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
79;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009560933;-0.058789033;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
80;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009550575;-0.058770124;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
81;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0095265005;-0.05875774;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
82;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.00950507;-0.05874877;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
84;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009475464;-0.058732755;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
86;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009460174;-0.0587171;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
88;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009456711;-0.05870818;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
91;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009467793;-0.058685;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
92;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009482621;-0.05867152;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
96;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009502087;-0.058620706;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
97;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009499859;-0.058610912;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
98;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009499424;-0.05860326;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
100;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009469715;-0.058591515;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
104;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009392894;-0.058518525;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
105;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009390123;-0.058489718;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
106;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009388112;-0.058461145;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
108;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009401612;-0.0584282;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
112;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009364276;-0.05840263;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
113;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009354405;-0.058399998;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
114;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009339712;-0.058398474;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
115;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009337642;-0.05839667;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
116;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009337205;-0.05839704;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
119;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009314283;-0.05843029;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
120;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009298926;-0.058449056;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
124;3;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.009291046;-0.05849112;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
125;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009287123;-0.05849342;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
126;3;0.0;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.009283382;-0.05849417;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
