index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;0.027311325;-0.021370815;-0.12117852;-0.00461395;-0.0010488136;-0.0089790365;0.02713672;-0.021592095;-0.12117852;-0.00461395;-0.0010488136;-0.0089790365;0.0;0.018073007;-9.731676E-7;-4.756979E-4;0.0017735998;-0.008128063;0.0018573097;1.2047141;0.0
3;0;0.026707772;-0.021338651;-0.12189373;-0.0061350777;7.964093E-4;-0.0044785184;0.026532166;-0.021556607;-0.12189373;-0.0061350777;7.964093E-4;-0.0044785184;0.0;0.0;-0.0048875054;-6.1661645E-4;0.0018167498;-0.008187635;0.0337925;-0.66337603;0.0
5;0;0.026093407;-0.021491563;-0.12263369;-0.00634584;3.2022595E-5;0.0033808788;0.025915958;-0.021705212;-0.12263369;-0.00634584;3.2022595E-5;0.0033808788;0.0;0.0;-0.0098127015;-7.393624E-4;0.0018846015;-0.008215763;0.033826273;-0.6873251;0.0
6;0;0.025701901;-0.021536713;-0.12285857;0.0024718484;-0.0016006213;0.006535523;0.025525188;-0.021745862;-0.12285857;0.0024718484;-0.0016006213;0.006535523;0.0;-0.018073007;0.053536814;-7.495744E-4;0.0018613617;-0.008165552;0.03521733;-0.7456947;0.0
7;0;0.025496645;-0.021644276;-0.12340729;0.00218949;-3.4753513E-4;-2.809951E-4;0.025314614;-0.021856897;-0.12340729;0.00218949;-3.4753513E-4;-2.809951E-4;0.0;0.0;0.05119195;-6.8309E-4;0.001878927;-0.008368982;0.03423946;-0.7307467;0.0
9;0;0.024837242;-0.021684397;-0.12431756;-0.011546544;-0.0024409005;-0.0070948275;0.024653688;-0.02189286;-0.12431756;-0.011546544;-0.0024409005;-0.0070948275;0.0;0.0;0.04647105;-8.5381727E-4;0.0017830855;-0.008424242;0.03335643;-0.7270044;0.0
11;0;0.020672418;-0.019966172;-0.113153845;0.0033753766;-4.7029834E-4;9.026687E-4;0.02050551;-0.02013755;-0.113153845;0.0033753766;-4.7029834E-4;9.026687E-4;0.0;0.018073007;0.04171679;-9.5385115E-4;0.0017584562;-0.008323769;0.03116961;-0.68808675;0.0
13;0;0.020096514;-0.020423248;-0.113643125;-0.0012139122;-0.0029065004;-0.0038329593;0.019922957;-0.020592589;-0.113643125;-0.0012139122;-0.0029065004;-0.0038329593;0.0;0.0;0.0029275224;-9.5399685E-4;0.0017410922;-0.008462879;0.028310541;-0.77680427;0.0
14;0;0.019837284;-0.020729057;-0.113913015;-0.0063346615;-0.0017387671;-0.0039226036;0.019660154;-0.020897131;-0.113913015;-0.0063346615;-0.0017387671;-0.0039226036;0.0;-0.018073007;6.982011E-4;-0.0010493153;0.0016842345;-0.008510487;0.030130047;-0.84860724;0.0
15;0;0.019536495;-0.020935811;-0.1141816;-0.0037570605;4.448304E-4;-7.4823806E-4;0.019359136;-0.02109992;-0.1141816;-0.0037570605;4.448304E-4;-7.4823806E-4;0.0;0.0;-0.0015352266;-0.0011443335;0.0016419553;-0.008438413;0.029432816;-0.84008795;0.0
16;0;0.019288857;-0.021159137;-0.114554755;-0.004268192;0.0012297686;-0.0070867664;0.0191073;-0.021323228;-0.114554755;-0.004268192;0.0012297686;-0.0070867664;0.0;0.0;-0.0037760343;-0.0012595839;0.0015938403;-0.008547282;0.02902259;-0.8411649;0.0
17;0;0.01902831;-0.021416081;-0.11487344;0.008807853;-9.781215E-5;-9.262788E-4;0.018843995;-0.021578437;-0.11487344;0.008807853;-9.781215E-5;-9.262788E-4;0.0;0.0;-0.006018048;-0.0010914244;0.0015754653;-0.008573787;0.028826991;-0.8470642;0.0
19;0;0.018707676;-0.021341048;-0.11567983;-0.011870247;-0.0041658795;0.0052234316;0.018525008;-0.021499805;-0.11567983;-0.011870247;-0.0041658795;0.0052234316;0.0;0.0;-0.030429231;-0.0011869345;0.0016116617;-0.008527746;0.028612496;-0.86103916;0.0
21;0;0.018304266;-0.02168596;-0.11617441;0.0024472177;8.36432E-4;0.0012974781;0.018118687;-0.02184125;-0.11617441;0.0024472177;8.36432E-4;0.0012974781;0.0;0.0;-0.03505294;-0.0011170119;0.0016258648;-0.008527025;0.028438136;-0.86993057;0.0
22;0;0.018166142;-0.02186066;-0.11687175;-0.005198507;-0.004971659;-0.010044375;0.017974146;-0.02201879;-0.11687175;-0.005198507;-0.004971659;-0.010044375;0.0;0.0;-0.037371848;-0.0010623337;0.001536117;-0.008750941;0.028392496;-0.8790886;0.0
23;0;0.017996551;-0.02193801;-0.11746891;0.005136982;-0.0030187834;-0.0019521518;0.017803967;-0.02209459;-0.11746891;0.005136982;-0.0030187834;-0.0019521518;0.0;0.0;-0.039708156;-9.826927E-4;0.0014838818;-0.008747345;0.028431637;-0.88685775;0.0
24;0;0.017705634;-0.022224283;-0.117709555;0.0045583895;1.5611295E-4;0.0035343447;0.017510142;-0.022378633;-0.117709555;0.0045583895;1.5611295E-4;0.0035343447;0.0;0.0;-0.011162199;-9.588954E-4;0.0015476302;-0.008765811;0.028389845;-0.89381874;0.0
25;0;0.017406069;-0.022385221;-0.1180256;-0.004692681;0.0025673583;0.0044319574;0.017209409;-0.022536762;-0.1180256;-0.004692681;0.0025673583;0.0044319574;0.0;0.0;-0.013452679;-0.0010342422;0.0015251134;-0.008755579;0.028422749;-0.90792894;0.0
