pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.00573526;0.0025713313;-0.0029038033;-0.00573526;-0.002571331;0.0029038026;0.0;0.0
0.005969106;0.002395545;-0.0026726148;-0.005969106;-0.0023955447;0.002672614;0.0;0.0
0.0059468932;0.0019452928;-0.002454688;-0.0059468932;-0.0019452926;0.0024546874;0.0;0.0
0.0060525336;0.002048152;-0.0021377588;-0.0060525336;-0.0020481518;0.002137758;0.0;0.0
0.0073312446;0.0012469188;-0.001977744;-0.0073312446;-0.0012469186;0.001977743;0.0;0.0
0.007352868;0.0012388985;-0.0019961759;-0.007352868;-0.0012388983;0.001996175;0.0;0.0
0.0075852317;1.7035916E-4;-4.1927607E-4;-0.0075852317;-1.7035892E-4;4.1927537E-4;0.0;0.0
0.0066365693;0.0016129176;-0.0018538843;-0.0066365693;-0.0016129174;0.0018538836;0.0;0.0
0.0029304489;0.0053693433;-0.00565517;-0.0029304489;-0.005369343;0.0056551695;0.0;0.0
0.0020009833;0.0053432435;-0.00701085;-0.0020009833;-0.005343243;0.0070108497;0.0;0.0
0.0043190382;0.0038474977;-0.0043878313;-0.0043190382;-0.0038474975;0.004387831;0.0;0.0
0.0099499095;-0.001643413;5.5855373E-4;-0.0099499095;0.0016434132;-5.5855466E-4;0.0;0.0
0.009806706;-0.0021099926;0.002473463;-0.009806706;0.0021099928;-0.0024734638;0.0;0.0
0.009796354;-0.0021052752;0.0024999487;-0.009796354;0.0021052754;-0.0024999494;0.0;0.0
0.009454675;-0.0014798306;-3.7028827E-4;-0.009454675;0.0014798308;3.7028757E-4;0.0;0.0
0.0064320713;0.0021882737;-0.0010531553;-0.0064320713;-0.0021882732;0.0010531546;0.0;0.0
0.0021172059;0.005683069;-0.005787853;-0.0021172059;-0.0056830687;0.0057878527;0.0;0.0
0.002098676;0.005691648;-0.0057865796;-0.002098676;-0.0056916475;0.005786579;0.0;0.0
0.0021168545;0.004799283;-0.0057411306;-0.0021168545;-0.0047992826;0.00574113;0.0;0.0
0.0021048328;0.0047823787;-0.005737656;-0.0021048328;-0.0047823787;0.005737655;0.0;0.0
0.006699413;0.0012984304;-0.0016366984;-0.006699413;-0.0012984301;0.0016366977;0.0;0.0
0.0067022652;0.0012815098;-0.0016243249;-0.0067022652;-0.0012815095;0.0016243242;0.0;0.0
0.009345558;-6.0082413E-4;9.200191E-4;-0.009345558;6.0082437E-4;-9.200198E-4;0.0;0.0
0.0109579675;-0.001697218;0.0010892709;-0.0109579675;0.0016972183;-0.0010892719;0.0;0.0
