index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0027069226;-0.026702048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0026511177;-0.02669195;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
6;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0026145172;-0.026695432;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
7;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0026145172;-0.026695432;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
9;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025972715;-0.026700413;0.0;0.0;0.0;0.0;0.0075;0.0;0.0;0.0;0.0;0.0
13;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025883215;-0.026699154;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
14;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025927033;-0.026694266;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
17;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025919348;-0.026678475;0.0;0.0;0.0;0.0;0.005;0.0025;0.0;0.0;0.0;0.0
18;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.002596803;-0.026679724;0.0;0.0;0.0;0.0;0.005;0.0025;0.0;0.0;0.0;0.0
19;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025848716;-0.02668426;0.0;0.0;0.0;0.0;0.005;0.0025;0.0;0.0;0.0;0.0
23;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.002585846;-0.02668099;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
24;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.00257903;-0.026674392;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
25;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.00257903;-0.026674392;0.0;0.0;0.0;0.0;0.0075;0.0025;0.0;0.0;0.0;0.0
27;3;0.0;0.0;0.0;0.0;0.0;0.0125;0.0;0.0;0.0;0.0025732503;-0.026671836;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0
