index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;-0.014385182;0.07067582;-0.86855936;-0.0048433165;-0.003791159;-9.519357E-4;-0.015594611;0.07041884;-0.86855936;-0.0048433165;-0.003791159;-9.519357E-4;0.0;0.0;-2.8063542E-7;4.3916763E-4;0.008402598;0.01714309;0.0018179232;1.8104256;0.0
2;0;-0.016124308;0.07086722;-0.86879325;4.7198683E-4;0.0043936744;-0.007301166;-0.01733486;0.07058086;-0.86879325;4.7198683E-4;0.0043936744;-0.007301166;0.0;0.0;-0.017478265;6.364228E-4;0.008331319;0.017116139;0.07128724;1.7906623;0.0
3;0;-0.017431084;0.07075235;-0.8689927;0.0038837679;0.0012436304;-0.0052053137;-0.01863971;0.070443586;-0.8689927;0.0038837679;0.0012436304;-0.0052053137;0.0;0.0;-0.034983613;6.922866E-4;0.008408259;0.017119443;0.07226857;1.8134974;0.0
4;0;-0.019067548;0.07102285;-0.8695168;0.003860605;0.0023204703;0.0026255443;-0.020282751;0.07068541;-0.8695168;0.003860605;0.0023204703;0.0026255443;0.0;0.0;-0.052486286;7.886359E-4;0.0085195;0.017150354;0.0727224;1.8316246;0.0
5;0;-0.020715896;0.07143257;-0.8699196;0.008689703;0.006181242;0.0023855171;-0.021940282;0.07106605;-0.8699196;0.008689703;0.006181242;0.0023855171;0.0;0.0;-0.06997645;9.0637454E-4;0.008602225;0.017184114;0.07353279;1.8523676;0.0
7;0;-0.024246518;0.0714957;-0.87037253;0.005991786;0.001979651;-0.010124558;-0.025457215;0.071073614;-0.87037253;0.005991786;0.001979651;-0.010124558;0.0;0.0;-0.15459216;0.0010170722;0.008444372;0.016983578;0.076093994;1.8894271;0.0
9;0;-0.027803585;0.071653426;-0.87093693;-0.0036914696;0.0028777113;0.011400861;-0.029037163;0.07116246;-0.87093693;-0.0036914696;0.0028777113;0.011400861;0.0;0.0;-0.18982218;9.93999E-4;0.008563334;0.017274655;0.0755437;1.9485267;0.0
10;0;-0.029253755;0.07219741;-0.87137043;0.0048869927;0.0050674556;0.00640276;-0.030504951;0.07167772;-0.87137043;0.0048869927;0.0050674556;0.00640276;0.0;0.0;-0.20745435;0.0010105454;0.008574824;0.017392367;0.07658441;1.961782;0.0
11;0;-0.030664787;0.07230277;-0.87172574;0.0048353397;0.0022136783;-0.005674276;-0.031914603;0.071759865;-0.87172574;0.0048353397;0.0022136783;-0.005674276;0.0;0.0;-0.22510228;0.0010735263;0.008531946;0.017350603;0.07780091;1.9757627;0.0
12;0;-0.03233352;0.07233787;-0.87205535;0.0033666166;-0.007012775;-1.8950544E-4;-0.03358582;0.07176501;-0.87205535;0.0033666166;-0.007012775;-1.8950544E-4;0.0;0.0;-0.20491588;0.0012070963;0.008322616;0.017380172;0.078536704;1.9914597;0.0
