pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
-0.0022964515;-2.2333348E-4;-0.009716285;0.002296452;2.2333441E-4;0.009716285;0.0;0.0
0.35511655;0.34804693;0.3485677;0.3499502;0.3570198;0.35649905;0.0;0.0
0.35578287;0.34755984;0.34933278;0.3492838;0.35750684;0.3557339;0.0;0.0
0.35756725;0.35075265;0.3513325;0.35249972;0.35931432;0.3587345;0.0;0.0
0.3618996;0.35164583;0.35550278;0.3531673;0.36342108;0.35956413;0.0;0.0
0.3619123;0.3516482;0.35551524;0.35315436;0.36341846;0.35955143;0.0;0.0
0.36385158;0.34881824;0.3574605;0.3512152;0.36624855;0.3576063;0.0;0.0
0.36622176;0.35241663;0.35897434;0.35384724;0.36765236;0.36109465;0.0;0.0
0.3663204;0.35190764;0.3606045;0.35374805;0.3681608;0.35946396;0.0;0.0
0.36576426;0.35784212;0.35835895;0.35930437;0.3672265;0.36670968;0.0;0.0
0.3623971;0.36017296;0.3573415;0.3626708;0.36489496;0.36772642;0.0;0.0
0.3630856;0.36544982;0.35702035;0.36698315;0.36461893;0.3730484;0.0;0.0
0.36308014;0.36546615;0.35702673;0.36698806;0.36460206;0.37304148;0.0;0.0
0.3677415;0.365247;0.36104167;0.36732742;0.3698219;0.37402725;0.0;0.0
0.3689305;0.36446673;0.36294156;0.36613813;0.3706019;0.37212706;0.0;0.0
0.37314704;0.36473128;0.36630532;0.36692187;0.37533763;0.3737636;0.0;0.0
0.37355003;0.36583358;0.36670703;0.3665187;0.37423515;0.3733617;0.0;0.0
0.37704256;0.3663526;0.37007126;0.368027;0.37871698;0.3749983;0.0;0.0
0.37703508;0.36613786;0.3730803;0.3680334;0.37893063;0.37198818;0.0;0.0
0.38105324;0.3676356;0.37275517;0.36901602;0.38243365;0.3773141;0.0;0.0
0.3771465;0.37122467;0.37289563;0.37292138;0.37884322;0.37717226;0.0;0.0
0.37583616;0.37758338;0.37019897;0.3792316;0.37748438;0.3848688;0.0;0.0
0.37582526;0.37760925;0.37020946;0.37924162;0.37745762;0.38485742;0.0;0.0
0.38022473;0.37672;0.37253803;0.37984422;0.38334894;0.38753092;0.0;0.0
0.3802448;0.37667832;0.37250295;0.37982625;0.38339272;0.3875681;0.0;0.0
0.38111305;0.38145036;0.37352937;0.37895882;0.37862152;0.3865425;0.0;0.0
0.3825767;0.3860293;0.37366217;0.38250405;0.37905145;0.39141858;0.0;0.0
