index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;-0.086295195;-0.09917225;-0.39869097;0.0032328977;-0.003033793;-0.002838891;-0.08814678;-0.0975302;-0.39869097;0.0032328977;-0.003033793;-0.002838891;0.0;0.018073015;-1.0061267E-6;-0.0012161944;1.4332002E-4;-0.018825792;0.0022059025;-3.1107466;0.0
2;0;-0.08643959;-0.09956951;-0.3991857;0.0022742841;-0.0025450164;-0.003484743;-0.08830281;-0.09792089;-0.3991857;0.0022742841;-0.0025450164;-0.003484743;0.0;0.0;-0.008041622;-0.0012473451;1.9310456E-4;-0.018868556;0.12898977;-2.3117895;0.0
3;0;-0.08671853;-0.09989682;-0.39937487;-0.013811683;0.0021786797;0.0077352896;-0.08858327;-0.09824705;-0.39937487;-0.013811683;0.0021786797;0.0077352896;0.0;0.0;-0.0160627;-0.0013354315;1.2489536E-4;-0.018821515;0.13066672;-2.3076625;0.0
4;0;-0.086748034;-0.10015845;-0.3996862;-0.004945246;-0.0023705643;-0.0037390995;-0.08863307;-0.09849424;-0.3996862;-0.004945246;-0.0023705643;-0.0037390995;0.0;0.0;-0.024115846;-0.001346687;2.923546E-5;-0.018977657;0.13171396;-2.3059554;0.0
5;0;-0.08693335;-0.10018809;-0.4001092;-0.00457208;-0.0038017128;-0.0020303896;-0.088819236;-0.09852007;-0.4001092;-0.00457208;-0.0038017128;-0.0020303896;0.0;0.0;-0.03217884;-0.0014828962;-3.4391862E-5;-0.018980915;0.1322458;-2.3042998;0.0
7;0;-0.0870094;-0.10069914;-0.40091503;-0.0015265013;8.0370996E-4;4.630034E-4;-0.08890315;-0.09903122;-0.40091503;-0.0015265013;8.0370996E-4;4.630034E-4;0.0;0.0;-0.021184592;-0.0017624772;-5.0245686E-5;-0.018962521;0.13363573;-2.2974977;0.0
9;0;-0.07881175;-0.091844276;-0.3632945;0.0023549614;-0.0038637035;-0.0090885945;-0.08055873;-0.09031586;-0.3632945;0.0023549614;-0.0038637035;-0.0090885945;0.0;0.018073015;-0.037228134;-0.0017707285;-2.0600038E-4;-0.0191801;0.13163917;-2.309565;0.0
11;0;-0.07760445;-0.09178616;-0.36387467;0.004214383;0.005769455;1.7261441E-4;-0.0793464;-0.090284534;-0.36387467;0.004214383;0.005769455;1.7261441E-4;0.0;0.0;-0.051769353;-0.0017412293;-1.5985448E-4;-0.019134404;0.11981909;-2.2953572;0.0
13;0;-0.07764751;-0.092243664;-0.36462963;0.0014307396;-0.003544474;-0.0030006494;-0.0793913;-0.09074718;-0.36462963;0.0014307396;-0.003544474;-0.0030006494;0.0;0.0;-0.08523821;-0.0016004454;-6.880132E-6;-0.01905826;0.120535135;-2.2909877;0.0
15;0;-0.07773786;-0.092879646;-0.3652097;-7.802944E-4;-9.3248906E-4;-0.0021243833;-0.07950265;-0.091373585;-0.3652097;-7.802944E-4;-9.3248906E-4;-0.0021243833;0.0;0.0;-0.099933945;-0.0016203931;-2.4933524E-5;-0.019155527;0.120787255;-2.2895625;0.0
