pwm0;pwm1;pwm2;pwm3;pwm4;pwm5;pwm6;pwm7
0.008222248;0.0049627637;-0.0046597617;-0.008222248;-0.0049627633;0.0046597603;0.0;0.0
0.008100036;0.0049572485;-0.0045501674;-0.008100036;-0.004957248;0.004550166;0.0;0.0
0.008097383;0.0049568233;-0.0045478228;-0.008097383;-0.004956823;0.0045478214;0.0;0.0
0.008280023;0.0047671;-0.0041208663;-0.008280023;-0.0047670994;0.004120865;0.0;0.0
0.00827699;0.004767025;-0.0041138707;-0.00827699;-0.0047670244;0.0041138693;0.0;0.0
0.010169597;0.0027136465;-0.002050383;-0.010169597;-0.002713646;0.0020503814;0.0;0.0
0.010166969;0.0027117154;-0.002033602;-0.010166969;-0.002711715;0.0020336004;0.0;0.0
0.009859917;0.003120935;-0.0029241429;-0.009859917;-0.0031209346;0.0029241415;0.0;0.0
0.0087082395;0.004555099;-0.0039355108;-0.0087082395;-0.0045550987;0.0039355094;0.0;0.0
0.0063707633;0.006805161;-0.006160925;-0.0063707633;-0.00680516;0.0061609233;0.0;0.0
0.0063558705;0.00682306;-0.0061622392;-0.0063558705;-0.006823059;0.0061622374;0.0;0.0
0.006119069;0.0069005582;-0.0066513717;-0.006119069;-0.006900558;0.0066513703;0.0;0.0
0.005264253;0.00862859;-0.0068664;-0.005264253;-0.00862859;0.0068663983;0.0;0.0
0.0052592508;0.008656813;-0.0068472484;-0.0052592508;-0.008656813;0.0068472466;0.0;0.0
0.004365266;0.008019051;-0.008599548;-0.004365266;-0.008019049;0.008599548;0.0;0.0
0.0058570514;0.006968991;-0.006722452;-0.0058570514;-0.006968991;0.006722451;0.0;0.0
0.01145535;0.0015228731;-8.95523E-4;-0.01145535;-0.0015228731;8.9552114E-4;0.0;0.0
0.01320833;4.3789158E-4;2.8360682E-4;-0.01320833;-4.378911E-4;-2.836082E-4;0.0;0.0
0.011700003;0.0018481149;-0.0011984978;-0.011700003;-0.0018481144;0.0011984964;0.0;0.0
0.011698576;0.0018615054;-0.0012017854;-0.011698576;-0.0018615054;0.0012017835;0.0;0.0
0.0061099925;0.0070897383;-0.0064068804;-0.0061099925;-0.007089738;0.006406879;0.0;0.0
0.006093909;0.007105206;-0.0064215204;-0.006093909;-0.007105205;0.0064215185;0.0;0.0
0.003159991;0.009529868;-0.00945664;-0.003159991;-0.009529868;0.009456639;0.0;0.0
0.0031432365;0.009536754;-0.009475011;-0.0031432365;-0.009536753;0.0094750095;0.0;0.0
0.0028450773;0.010338893;-0.009579167;-0.0028450773;-0.010338893;0.009579165;0.0;0.0
0.004764669;0.0083379205;-0.007904666;-0.004764669;-0.00833792;0.007904665;0.0;0.0
0.004776651;0.008325025;-0.00790156;-0.004776651;-0.008325025;0.007901559;0.0;0.0
0.014745936;-0.0014074445;0.0016626483;-0.014745936;0.001407445;-0.0016626497;0.0;0.0
0.014777244;-0.0014251345;0.0016735247;-0.014777244;0.001425135;-0.0016735261;0.0;0.0
0.014619642;-0.0015640766;0.002089051;-0.014619642;0.0015640771;-0.0020890525;0.0;0.0
0.014624542;-0.0015628464;0.0020888518;-0.014624542;0.0015628468;-0.0020888532;0.0;0.0
0.005670526;0.007187252;-0.007068998;-0.005670526;-0.007187251;0.0070689963;0.0;0.0
0.0056488495;0.0071989745;-0.0070878714;-0.0056488495;-0.0071989736;0.0070878696;0.0;0.0
0.0028765975;0.010396381;-0.009911549;-0.0028765975;-0.010396381;0.009911547;0.0;0.0
0.0028611152;0.010414724;-0.0099218935;-0.0028611152;-0.010414724;0.009921892;0.0;0.0
0.0044687917;0.009064959;-0.008058881;-0.0044687917;-0.009064958;0.00805888;0.0;0.0
0.007247067;0.0061335615;-0.0057747182;-0.007247067;-0.006133561;0.005774717;0.0;0.0
0.0072688055;0.0061225328;-0.005767212;-0.0072688055;-0.0061225323;0.0057672104;0.0;0.0
0.011663112;7.3459325E-4;-0.0010873373;-0.011663112;-7.345928E-4;0.0010873359;0.0;0.0
0.013178354;-1.695659E-5;2.524173E-4;-0.013178354;1.6957056E-5;-2.524187E-4;0.0;0.0
0.013187195;-1.705531E-5;2.5155116E-4;-0.013187195;1.7055776E-5;-2.5155256E-4;0.0;0.0
0.012041471;9.265044E-4;-4.57061E-4;-0.012041471;-9.265039E-4;4.570596E-4;0.0;0.0
0.012035442;9.3270116E-4;-4.5901933E-4;-0.012035442;-9.327007E-4;4.5901793E-4;0.0;0.0
0.010012554;0.003273183;-0.0028902744;-0.010012554;-0.0032731825;0.002890273;0.0;0.0
0.010002124;0.0032853265;-0.0029019327;-0.010002124;-0.003285326;0.0029019313;0.0;0.0
