index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013143417;-0.03861367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013144834;-0.03861539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013147337;-0.03861764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013178429;-0.03861064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013179071;-0.0386099;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013182929;-0.03861372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013182525;-0.038616348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013166922;-0.038654312;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013167368;-0.038663317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013169851;-0.038673654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013160458;-0.038674504;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
22;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01312981;-0.038716983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0131277675;-0.038730502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
24;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013124544;-0.038743597;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0131127285;-0.038755413;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
26;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013100708;-0.0387684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013099666;-0.038783647;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0130742155;-0.03883051;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013067969;-0.038832735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013061676;-0.03883324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
