index;navStatus;velBfx;velBfy;velBfz;velBfroll;velBfpitch;velBfyaw;velEfx;velEfy;velEfz;velEfroll;velEfpitch;velEfyaw;posx;posy;posz;posroll;pospitch;posyaw;groundSpeed;bearing;quality
1;0;-0.047996473;0.01877147;-0.030055502;7.907394E-6;-0.0066546258;0.0024817716;-0.048870794;0.016360775;-0.030055502;7.907394E-6;-0.0066546258;0.0024817716;0.0;0.018072983;-7.955183E-7;7.140737E-4;0.0036403222;0.049762897;0.0031807944;1.9772799;0.0
2;0;-0.04850311;0.01891822;-0.030632952;-0.0010961294;-0.0063445037;-0.005920365;-0.04938343;0.016484145;-0.030632952;-0.0010961294;-0.0063445037;-0.005920365;0.0;0.0;-6.0756714E-4;6.9878745E-4;0.0035213917;0.049722333;0.05136223;2.7954688;0.0
4;0;-0.049478576;0.018886141;-0.031252544;0.0029335301;0.008230036;0.0026109684;-0.050354265;0.016409265;-0.031252544;0.0029335301;0.008230036;0.0026109684;0.0;0.0;-0.0018543433;8.2640414E-4;0.0036495747;0.0496103;0.052673906;2.8193932;0.0
6;0;-0.0508753;0.019452855;-0.032437246;-0.0011731959;0.0017122503;-0.0077035683;-0.05177595;0.016910367;-0.032437246;-0.0011731959;0.0017122503;-0.0077035683;0.0;0.0;-0.082420036;8.9711836E-4;0.0036795083;0.04952631;0.05407105;2.8238664;0.0
8;0;-0.052476823;0.019645568;-0.033307172;-0.0066351676;0.004307033;0.003087463;-0.053387083;0.017017188;-0.033307172;-0.0066351676;0.004307033;0.003087463;0.0;0.0;-0.08406792;7.9417526E-4;0.0037069623;0.049645614;0.055307634;2.8290138;0.0
10;0;-0.04915911;0.01936181;-0.030155236;-0.0073936996;-0.0017204813;-0.001563328;-0.05006124;0.016892899;-0.030155236;-0.0073936996;-0.0017204813;-0.001563328;0.0;0.0;-0.08567024;7.086115E-4;0.0036822269;0.04975596;0.052591037;2.7952838;0.0
11;0;-0.049986828;0.019387517;-0.030453997;0.010664476;0.008313851;0.0055877147;-0.05088852;0.016879495;-0.030453997;0.010664476;0.008313851;0.0055877147;0.0;0.0;-0.08644385;7.3301414E-4;0.0037850041;0.04971495;0.053139403;2.8064387;0.0
12;0;-0.051029257;0.019600336;-0.031192308;0.00391205;-5.606556E-4;0.009267023;-0.051941402;0.017036691;-0.031192308;0.00391205;-5.606556E-4;0.009267023;0.0;0.0;-0.07929124;7.6393445E-4;0.003701805;0.04978341;0.053817537;2.816491;0.0
14;0;-0.0521507;0.0197817;-0.03171757;0.004951963;-3.9350468E-4;0.0015127802;-0.053069837;0.017164012;-0.03171757;0.004951963;-3.9350468E-4;0.0015127802;0.0;0.0;-0.08085986;8.4288034E-4;0.0038263085;0.04974595;0.055444032;2.8261952;0.0
16;0;-0.053702436;0.020124916;-0.032596424;0.0024348563;0.0036330817;0.0017717059;-0.054636262;0.017431092;-0.032596424;0.0024348563;0.0036330817;0.0017717059;0.0;0.036145967;-0.08245344;9.5701346E-4;0.0037977279;0.04971945;0.058156636;2.7589355;0.0
